,Message,Tweet Favorite Count,Retweet Count,Created At,Username,Likes,User Description,Following,Followers
0,#BobSaget #JoeRoganExperience #byeSpotify #JoeRoganIsaRacist #Spotify https://t.co/vLY4H5POJA,0,0,2022-02-14 05:47:54+00:00,_HighArt_,9165,"#DEFUNDTHEPOLICE
#ABOLISHTHEPOLICE
#BlackLivesMatter
#EveryChildMatters

                 👶🏿👶🏻👶🏾👶👶🏼👶🏽",1,5792
1,@Nachtzuster2 #byeSpotify #BobSaget #JoeRoganIsaRacist https://t.co/1ekWNNcDr5,0,0,2022-02-14 05:47:19+00:00,_HighArt_,9165,"#DEFUNDTHEPOLICE
#ABOLISHTHEPOLICE
#BlackLivesMatter
#EveryChildMatters

                 👶🏿👶🏻👶🏾👶👶🏼👶🏽",1,5792
2,@unhealthytruth Well no shit he is hanging around with #racist people. #BobSaget #canada #byeSpotify https://t.co/AFV7FRHnMz,0,0,2022-02-14 05:46:45+00:00,_HighArt_,9165,"#DEFUNDTHEPOLICE
#ABOLISHTHEPOLICE
#BlackLivesMatter
#EveryChildMatters

                 👶🏿👶🏻👶🏾👶👶🏼👶🏽",1,5792
3,RT @_HighArt_: #BobSaget #joerogan #timwilkins #DeleteSpotify #byeSpotify #JoeRoganIsaRacist https://t.co/G1PUZ8gW1V,0,1,2022-02-14 03:22:59+00:00,_HighArt_,9165,"#DEFUNDTHEPOLICE
#ABOLISHTHEPOLICE
#BlackLivesMatter
#EveryChildMatters

                 👶🏿👶🏻👶🏾👶👶🏼👶🏽",1,5792
4,"RT @_HighArt_: Looks like #timwilkins supports the the ""trucker convoy"" and he is a marine. #DeleteSpotify #byeSpotify #Spotifydeleted #Bob…",0,0,2022-02-14 02:35:42+00:00,CalmAnSensitive,27,"#DEFUNDTHEPOLICE
#ABOLISHTHEPOLICE",0,5
5,"RT @FRamirezPinedo: If you're supportive of the #byeSpotify hashtag, might I suggest moving over to @TIDAL, which pays artists more per str…",0,152,2022-02-14 02:13:57+00:00,AlftaraDiana,122884,,4613,2475
6,#byespotify https://t.co/Z2JZLgqmx2,0,0,2022-02-14 02:10:31+00:00,rvcruzn,6789,"Florida native! Loving family life with co-conspirator. Cat person with a dog too. Love Miami Dolphins, Jeepin’ out west and glamping.",1206,287
7,"RT @PlagueDocIsIn: Covid is not a hoax
Stop the misinformation 
#GetVaccinated #maskup 

#ByeSpotify https://t.co/gIBeR8ega5",0,442,2022-02-14 02:09:49+00:00,rvcruzn,6789,"Florida native! Loving family life with co-conspirator. Cat person with a dog too. Love Miami Dolphins, Jeepin’ out west and glamping.",1206,287
8,"RT @PlagueDocIsIn: Covid is not a hoax
Stop the misinformation 
#GetVaccinated #maskup 

#ByeSpotify https://t.co/gIBeR8ega5",0,442,2022-02-14 02:09:32+00:00,AlftaraDiana,122884,,4613,2475
9,RT @HamiltionMarion: Canceled.Spotify last night. It's AppleMusic for me now #ByeSpotify,0,4,2022-02-13 23:44:11+00:00,onikurakiriko,0,2MINUTESINLA,14,13
10,"RT @dailybeanspod: NEW: Daily Beans is leaving @Spotify until further notice. It’s risky for us, but risking it all for the truth is how I…",0,4993,2022-02-13 21:53:38+00:00,z_cirelli,88563,Educated. Never stop learning. Ignore Idiots! Block Republicans.,2394,134
11,RT @MuellerSheWrote: Thank you SO much to everyone subscribing to our ad-free pod feeds to throw support since we’re leaving Spotify! I’m o…,0,55,2022-02-13 21:37:12+00:00,z_cirelli,88563,Educated. Never stop learning. Ignore Idiots! Block Republicans.,2394,134
12,#ByeSpotify https://t.co/W4KjF1YMJc,0,0,2022-02-13 21:20:54+00:00,FifisDream,55047,"merrily, merrily, merrily . . .  
🌊 #Resist",16047,15813
